TOKEN,NE
The,0
first,0
image,0
is,0
of,0
an,0
archival,0
note,0
with,0
basic,0
metadata,0
",",0
the,0
location,0
in,0
the,0
Yale,0
Edition,0
of,0
Horace,0
Walpole,0
's,0
correspondence,0
",",0
and,0
the,0
provenance,0
of,0
the,0
document,0
.,0
This,0
letter,0
appears,0
in,0
Lewis,0
(,0
1937-83,0
:,0
XXXI,0
",",0
228,0
),0
.,0
Mr,B-pers
Walpole,I-pers
begs,0
Miſs,B-pers
Hamilton,I-pers
to,0
be,0
so,0
good,0
as,0
to,0
let,0
him,0
know,0
how,0
poor,0
dear,0
Mrs,B-pers
Vesey,I-pers
is,0
.,0
He,0
is,0
so,0
anxious,0
about,0
her,0
",",0
that,0
he,0
can,0
not,0
help,0
giving,0
Miſs,B-pers
Hamilton,I-pers
this,0
trouble,0
",",0
which,0
he,0
is,0
sure,0
from,0
her,0
own,0
concern,0
she,0
will,0
forgive,0
.,0
E,0
G,0
A,0
9,0
th,0
.,0
May,0
1785,0
May,0
9,0
1785,0
This,0
annotation,0
is,0
written,0
vertically,0
down,0
the,0
right-hand,0
side,0
of,0
the,0
page,0
.,0
According,0
to,0
the,0
transcription,0
of,0
this,0
letter,0
in,0
Lewis,0
(,0
1937-83,0
:,0
XXXI,0
",",0
228,0
),0
the,0
full,0
endorsement,0
reads,0
'Hon,0
.,0
H.,0
Walpole,0
May,0
9th,0
1785,0
',0
.,0
