TOKEN	NE
My	0
Dear	0
Miſs	B-pers
Hamilton	I-pers
Mama	0
's	0
being	0
prevented	0
writing	0
is	0
the	0
reason	0
I	0
trouble	0
you	0
with	0
this	0
to	0
say	0
how	0
sorry	0
We	0
both	0
are	0
that	0
we	0
can	0
not	0
meet	0
you	0
at	0
Sir	B-pers
Wm	I-pers
Hamilton	I-pers
's	0
tomorrow	0
,	0
as	0
other	0
People	0
&	0
their	0
busineſs	0
depend	0
upon	0
us	0
--	0
if	0
it	0
had	0
only	0
depended	0
on	0
ourselves	0
we	0
should	0
have	0
put	0
off	0
any	0
thing	0
with	0
pleasure	0
.	0
we	0
are	0
much	0
obliged	0
to	0
you	0
for	0
endeavouring	0
to	0
procure	0
us	0
a	0
sight	0
of	0
this	0
Vase	0
Pray	0
excuse	0
the	0
Scrawl	0
I	0
send	0
but	0
I	0
am	0
attending	0
my	0
Neice	0
in	0
her	0
Musick	0
Leſson	0
&	0
have	0
my	0
ears	0
so	0
full	0
of	0
Crotchetts	0
&	0
quavers	0
I	0
hardly	0
know	0
what	0
I	0
write	0
.	0
I	0
shall	0
hope	0
for	0
the	0
pleasure	0
of	0
seeing	0
you	0
next	0
Friday	0
&	0
am	0
my	0
dear	0
Miſs	B-pers
Hamilton	I-pers
your	0
obliged	0
Hble	0
.	0
Servt	0
.	0
Sophia	B-pers
Penn	I-pers
27	0
th	0
.	0
Janry	0
1784	0
This	0
date	0
is	0
written	0
to	0
the	0
left	0
of	0
the	0
salutation	0
.	0
