TOKEN	NE
The	0
first	0
image	0
is	0
of	0
an	0
archival	0
note	0
with	0
basic	0
metadata	0
,	0
the	0
location	0
in	0
the	0
Yale	0
Edition	0
of	0
Horace	0
Walpole	0
's	0
correspondence	0
,	0
and	0
the	0
provenance	0
of	0
the	0
document	0
.	0
This	0
note	0
appears	0
in	0
Lewis	0
(	0
1937-83	0
:	0
XXXI	0
,	0
262	0
)	0
.	0
Dear	0
Madam	0
will	0
you	0
&	0
Mr	B-pers
Dickenson	I-pers
do	0
me	0
the	0
favour	0
of	0
dining	0
at	0
Strawberry	0
hill	0
on	0
Tuesday	0
next	0
the	0
13	0
th	0
.	0
Mrs	B-pers
Carter	I-pers
,	0
Mrs	B-pers
Garrick	I-pers
&	0
Miſs	B-pers
More	I-pers
will	0
meet	0
you	0
,	0
&	0
I	0
hope	0
Miſs	B-pers
Clarke	I-pers
.	0
I	0
hope	0
too	0
to	0
see	0
you	0
before	0
one	0
,	0
&	0
I	0
flatter	0
myself	0
the	0
Sun	0
will	0
be	0
there	0
just	0
then	0
.	0
Yrs	0
most	0
devoutly	0
HWalpole	B-pers
7	0
th	0
.	0
May	0
1788	0
Remains	0
of	0
a	0
seal	0
,	0
in	0
black	0
wax	0
.	0
No	0
7	0
