TOKEN	NE
Letters	0
from	0
The	0
Glover	0
Family	0
.	0
1778	0
to	0
1787	0
Nos-	0
..	0
1	0
,	0
2	0
,	0
5	0
,	0
6	0
,	0
7	0
,	0
8	0
,	0
20	0
*	0
,	0
21	0
,	0
24	0
,	0
from	0
Mrs-	B-pers
..	I-pers
Glover	I-pers
to	0
Miranda	B-pers
.	0
No-	0
..	0
20	0
*	0
,	0
Miss	B-pers
Mary	I-pers
Glover	I-pers
to	0
Mr-	B-pers
..	I-pers
John	I-pers
Dickenson	I-pers
on	0
back	0
of	0
letter	0
Nos-	0
..	0
3	0
,	0
4	0
,	0
Miss	B-pers
M.	I-pers
Glover	I-pers
to	0
Miss	B-pers
Mary	I-pers
Hamilton	I-pers
.	0
Nos-	0
..	0
9	0
,	0
14	0
,	0
Miss	B-pers
M.	I-pers
Glover	I-pers
to	0
Miranda	B-pers
.	0
Nos-	0
..	0
10	0
,	0
11	0
,	0
12	0
,	0
13	0
,	0
15	0
,	0
16	0
,	0
19	0
,	0
26	0
,	0
Miss	B-pers
M.	I-pers
Glover	I-pers
to	0
Mrs-	B-pers
..	I-pers
Dickenson	I-pers
.	0
Nos-	0
..	0
17	0
,	0
18	0
,	0
Miss	B-pers
M.	I-pers
Glover	I-pers
to	0
Mr-	B-pers
..	I-pers
John	I-pers
Dickenson	I-pers
.	0
Nos-	0
..	0
25	0
,	0
R.	B-pers
Glover	I-pers
Esq	I-pers
.	I-pers
to	0
Miranda	B-pers
.	0
Miranda	B-pers
was	0
a	0
pet	0
name	0
for	0
Miss	B-pers
Mary	I-pers
Hamilton	I-pers
who	0
married	0
Mr-	B-pers
..	I-pers
John	I-pers
Dickenson	I-pers
on	0
13	0
th	0
-	0
..	0
June	0
,	0
1785	0
.	0
No-	0
..	0
27	0
,	0
From	0
M	0
rs-	B-pers
..	I-pers
E.	I-pers
Glover	I-pers
to	0
Mrs-	B-pers
..	I-pers
Dickenson	I-pers
,	0
11	0
th	0
-	0
Augt-	0
..	0
1800	0
.	0
