TOKEN,NE
Welwyn,B-place
",",0
Herts,B-place
",",0
24,0
th,0
:,0
Feby-,0
1781,0
.,0
Ten,0
Thousand,0
thanks,0
to,0
my,0
Dearest,0
Sister,0
for,0
her,0
very,0
kind,0
Offer,0
--,0
She,0
must,0
not,0
be,0
hurt,0
if,0
I,0
decline,0
taking,0
advantage,0
of,0
her,0
generosity,0
",",0
neither,0
would,0
I,0
wish,0
that,0
She,0
should,0
impute,0
my,0
refusal,0
to,0
Pride,0
or,0
false,0
delicacy,0
--,0
You,0
bid,0
me,0
not,0
answer,0
'till,0
I,0
have,0
reflected,0
",",0
&,0
I,0
have,0
obeyed,0
You,0
.,0
The,0
more,0
I,0
reflect,0
the,0
more,0
improper,0
",",0
not,0
to,0
call,0
it,0
dishonest,0
would,0
be,0
my,0
acceptance,0
of,0
the,0
astonishing,0
proof,0
you,0
give,0
me,0
of,0
your,0
friendship,0
and,0
esteem,0
",",0
appear,0
to,0
the,0
world,0
and,0
to,0
myself,0
.,0
No,0
my,0
Dear,0
Sister,0
",",0
I,0
sincerely,0
trust,0
that,0
no,0
selfish,0
consideration,0
will,0
ever,0
induce,0
me,0
to,0
act,0
contrary,0
to,0
my,0
own,0
Idea,0
of,0
Integrity,0
",",0
and,0
while,0
I,0
feel,0
myself,0
actuated,0
by,0
principle,0
&,0
equity,0
",",0
I,0
never,0
can,0
prevail,0
upon,0
myself,0
to,0
borrow,0
without,0
a,0
certainty,0
of,0
being,0
able,0
to,0
repay,0
--,0
In,0
your,0
debt,0
I,0
must,0
for,0
ever,0
be,0
",",0
and,0
I,0
am,0
convinced,0
you,0
will,0
do,0
me,0
the,0
justice,0
to,0
beleive,0
that,0
I,0
feel,0
the,0
full,0
force,0
of,0
your,0
disinterested,0
and,0
generous,0
proposal,0
--,0
I,0
hope,0
you,0
will,0
ever,0
find,0
my,0
friendship,0
for,0
You,0
real,0
&,0
sincere,0
.,0
It,0
distreſses,0
me,0
beyond,0
expreſsion,0
to,0
find,0
you,0
put,0
the,0
tryal,0
of,0
its,0
sincerity,0
upon,0
my,0
acceptance,0
of,0
what,0
would,0
make,0
me,0
despise,0
myself,0
for,0
ever,0
",",0
should,0
I,0
even,0
entertain,0
the,0
most,0
distant,0
intention,0
of,0
doing,0
so,0
--,0
at,0
the,0
same,0
time,0
I,0
shall,0
always,0
conceive,0
my,0
obligation,0
to,0
You,0
the,0
same,0
as,0
if,0
I,0
had,0
accepted,0
.,0
My,0
heart,0
is,0
too,0
full,0
to,0
add,0
anything,0
more,0
to,0
what,0
I,0
have,0
wrote,0
",",0
or,0
to,0
correct,0
its,0
incoherency,0
",",0
I,0
can,0
only,0
say,0
that,0
I,0
am,0
&,0
ever,0
will,0
be,0
your,0
most,0
sincere,0
friend,0
&,0
much,0
obliged,0
Brother,0
--,0
N——,B-pers
This,0
block,0
must,0
be,0
turned,0
over,0
Sepr,0
1783,0
to,0
Feb,0
1781,0
1781,0
to,0
1818,0
