TOKEN	NE
49	0
Febry	0
Sunday	0
22	0
d	0
:	0
Feby	0
.	0
Dſs	B-pers
of	I-pers
P	I-pers
.	I-pers
s	0
birthday	0
1784	0
Dear	0
Madam	0
my	0
Aunt	0
desires	0
I	0
will	0
tell	0
you	0
,	0
that	0
she	0
hopes	0
you	0
will	0
come	0
this	0
Evening	0
to	0
Tea	0
or	0
any	0
time	0
after	0
7	0
'	0
o'Clock	0
for	0
she	0
thinks	0
it	0
an	0
age	0
since	0
she	0
had	0
that	0
happiness	0
,	0
&	0
you	0
will	0
meet	0
company	0
that	0
she	0
thinks	0
you	0
will	0
have	0
no	0
objection	0
too	0
.	0
&	0
AAunt	0
D	0
.	0
wishes	0
for	0
no	0
other	0
addition	0
.	0
&	0
I	0
am	0
Dear	0
Madam	0
Your	0
much	0
Obliged	0
Humb	0
.	0
Servt	0
.	0
G.M.A.Port	B-pers
To	0
Miſs	B-pers
Hamilton	I-pers
The	0
address	0
has	0
been	0
fragmented	0
by	0
unfolding	0
;	0
part	0
is	0
missing	0
,	0
presumably	0
from	0
the	0
page	0
having	0
been	0
cut	0
.	0
Feb	0
.	0
22	0
.	0
84	0
This	0
annotation	0
is	0
written	0
vertically	0
.	0
