TOKEN,NE
The,0
image,0
differs,0
from,0
that,0
in,0
the,0
University,0
of,0
Manchester,0
LUNA,0
catalogue,0
",",0
as,0
p.1,0
and,0
p.2,0
have,0
been,0
swapped,0
for,0
ease,0
of,0
presentation,0
.,0
have,0
you,0
engaged,0
an,0
equipage,0
‘,0
A,0
carriage,0
and,0
horses,0
",",0
with,0
the,0
attendant,0
servants,0
;,0
in,0
later,0
use,0
sometimes,0
applied,0
to,0
a,0
carriage,0
alone,0
’,0
(,0
OED,0
s.v,0
.,0
equipage,0
n.,0
12,0
.,0
Accessed,0
18-08-2020,0
),0
.,0
to,0
bring,0
you,0
&,0
Mrs.,B-pers
Carter,I-pers
here,0
a,0
Little,0
before,0
4,0
--,0
if,0
you,0
have,0
the,B-pers
Dſs,I-pers
Dr.,I-pers
of,I-pers
Portland,I-pers
y,0
will,0
take,0
care,0
of,0
you,0
home,0
in,0
the,0
Evening,0
--,0
tho,0
fro,0
z,0
en,0
with,0
out,0
I,0
am,0
inwardly,0
as,0
warm,0
as,0
you,0
can,0
wish,0
me,0
to,0
be,0
Yours,0
MD,B-pers
Friday,0
13,0
th,0
Febry,0
1784,0
13,0
Feb,0
.,0
84,0
This,0
date,0
is,0
written,0
vertically,0
in,0
the,0
left,0
margin,0
of,0
p.2,0
.,0
To,0
Miss,B-pers
Hamilton,I-pers
This,0
line,0
appears,0
in,0
the,0
middle,0
of,0
the,0
page,0
",",0
with,0
the,0
addressee,0
's,0
name,0
split,0
in,0
three,0
",",0
with,0
three,0
different,0
orientations,0
",",0
by,0
unfolding,0
.,0
