TOKEN	NE
My	0
dear	0
Madam	0
Mrs.	B-pers
Garrick	I-pers
desires	0
me	0
to	0
present	0
her	0
love	0
to	0
you	0
,	0
with	0
the	0
inclosed	0
Card	0
which	0
will	0
admit	0
you	0
and	0
your	0
friends	0
to	0
see	0
Mrs.	B-pers
Siddons	I-pers
to	0
morrow	0
.	0
You	0
will	0
I	0
hope	0
happen	0
to	0
be	0
disengaged	0
,	0
but	0
in	0
case	0
you	0
shou	0
'd	0
not	0
be	0
able	0
to	0
go	0
,	0
you	0
will	0
be	0
so	0
obliging	0
as	0
return	0
the	0
Card	0
immediately	0
.	0
I	0
think	0
it	0
an	0
Age	0
since	0
I	0
saw	0
you	0
.	0
Adieu	0
my	0
dear	0
Madam	0
Yrs	0
.	0
most	0
faithfully	0
H	B-pers
More	I-pers
Adelphi	0
Friday	0
4	0
th	0
.	0
April	0
1783	0
This	0
page	0
is	0
blank	0
.	0
This	0
page	0
is	0
blank	0
.	0
Remains	0
of	0
a	0
seal	0
,	0
in	0
black	0
wax	0
.	0
To	0
Miſs	B-pers
Hamilton	I-pers
Clarges	0
Street	0
This	0
address	0
is	0
written	0
vertically	0
.	0
