TOKEN,NE
17,0
15,0
Sept,0
.,0
Sunday,0
1781,0
Babel,B-place
Dearest,0
friend,0
--,0
No,0
post,0
went,0
out,0
last,0
night,0
&,0
therefore,0
I,0
could,0
not,0
vindicate,0
my,0
seeming,0
neglect,0
--,0
indeed,0
my,0
love,0
I,0
wrote,0
on,0
friday,0
as,0
I,0
promised,0
at,0
Leuctra,B-place
&,0
gave,0
the,0
letter,0
to,0
Chs,B-pers
:,I-pers
Greville,I-pers
--,0
he,0
I,0
make,0
no,0
doubt,0
forgot,0
to,0
send,0
it,0
--,0
if,0
he,0
has,0
not,0
yet,0
done,0
so,0
--,0
pray,0
send,0
to,0
his,0
house,0
in,0
Portman,0
Square,0
A,0
garden,0
square,0
in,0
Mayfair,0
",",0
central,0
London,0
.,0
--,0
I,0
must,0
not,0
delay,0
sending,0
this,0
to,0
ye,0
.,0
post,0
--,0
I,0
will,0
write,0
to,0
night,0
for,0
Tomorrow,0
I,0
return,0
Bell,B-pers
s,0
letter,0
will,0
talk,0
of,0
it,0
bye,0
&,0
bye,0
when,0
I,0
write,0
adieu,0
The,0
remainder,0
of,0
the,0
note,0
has,0
been,0
cut,0
off,0
and,0
is,0
missing,0
.,0
Sep,0
tember,0
The,0
back,0
of,0
the,0
note,0
is,0
visible,0
at,0
the,0
bottom,0
of,0
p.3,0
of,0
HAM/1/15/2/20,0
.,0
