TOKEN,NE
78,0
recd-,0
Tuesday,0
Morng,0
.,0
10,0
o'Clock,0
14,0
th,0
Decbr,0
.,0
1779,0
Be,0
not,0
astonished,0
my,0
dear,0
Miranda,B-pers
",",0
at,0
my,0
silence,0
for,0
ye,0
3,0
or,0
4,0
last,0
days,0
attribute,0
it,0
not,0
to,0
indifference,0
for,0
I,0
aſsure,0
you,0
yt,0
.,0
nothing,0
Can,0
be,0
further,0
from,0
my,0
mind,0
than,0
yt,0
.,0
I,0
am,0
sorry,0
my,0
Miranda,B-pers
to,0
tell,0
you,0
my,0
friend,0
yt,0
.,0
you,0
must,0
not,0
expect,0
to,0
hear,0
from,0
me,0
above,0
once,0
or,0
at,0
most,0
twice,0
in,0
ye,0
.,0
same,0
Week,0
of,0
&,0
yt,0
.,0
I,0
am,0
afraid,0
in,0
a,0
very,0
short,0
Notes,0
",",0
however,0
be,0
sure,0
yt,0
.,0
whatever,0
opportunities,0
I,0
can,0
seize,0
I,0
will,0
.,0
This,0
moment,0
I,0
am,0
writing,0
is,0
taken,0
out,0
of,0
my,0
time,0
for,0
rest,0
it,0
is,0
very,0
late,0
&,0
am,0
afraid,0
of,0
being,0
interrupted,0
every,0
moment,0
by,0
ye,0
.,0
arrival,0
of,0
Lt——,B-pers
C——,I-pers
H,I-pers
however,0
I,0
will,0
scrawl,0
",",0
all,0
&,0
as,0
long,0
as,0
I,0
can,0
.,0
Know,0
then,0
my,0
Friend,0
",",0
yt,0
.,0
I,0
am,0
more,0
than,0
ever,0
in,0
love,0
",",0
&,0
yt,0
.,0
ye,0
dear,0
object,0
of,0
my,0
paſsion,0
",",0
corresponds,0
with,0
my,0
flame,0
",",0
&,0
yt,0
.,0
our,0
love,0
is,0
mutual,0
",",0
she,0
was,0
attacked,0
ye,0
.,0
other,0
A,0
word,0
such,0
as,0
evening,0
is,0
required,0
here,0
.,0
in,0
ye,0
.,0
house,0
for,0
addreſsing,0
everevery,0
tender,0
speech,0
she,0
ought,0
to,0
have,0
addreſsed,0
to,0
Prince,B-pers
Florisel,I-pers
David,0
Garrick,0
's,0
Florizel,0
and,0
Perdita,0
(,0
performed,0
1753,0
",",0
published,0
1756,0
),0
is,0
a,0
reworking,0
of,0
part,0
of,0
The,0
Winter,0
's,0
Tale,0
(,0
Wikipedia,0
),0
.,0
to,0
me,0
",",0
you,0
may,0
see,0
of,0
what,0
texture,0
they,0
are,0
by,0
reading,0
ym-,0
in,0
Shakespeare,B-pers
.,0
I,0
also,0
have,0
had,0
intelligence,0
from,0
a,0
Gentleman,0
who,0
was,0
at,0
ye,0
.,0
Play,0
at,0
C——t,0
G——n,0
T——e,0
when,0
we,0
were,0
there,0
last,0
Week,0
&,0
who,0
is,0
acquainted,0
with,0
Sr,B-pers
..,I-pers
SirLade,I-pers
",",0
by,0
whom,0
he,0
sat,0
at,0
ye,0
Th——e,0
who,0
has,0
had,0
an,0
intimate,0
connection,0
avec,0
mon,0
aimable,0
&,0
chère,0
séductrice,0
yt,0
.,0
y,0
h,0
e,0
remarked,0
to,0
this,0
person,0
how,0
tired,0
I,0
appeared,0
of,0
ye,0
.,0
piece,0
with,0
an,0
arch,0
remark,0
yt,0
.,0
I,0
shd,0
..,0
not,0
have,0
been,0
so,0
tired,0
had,0
I,0
been,0
at,0
D——y,0
L——e,0
T——e,0
&,0
then,0
said,0
I,0
have,0
heard,0
a,0
great,0
deal,0
of,0
ye,0
