TOKEN,NE
My,0
dear,0
Miſs,B-pers
Hamilton,I-pers
",",0
I,0
hope,0
you,0
are,0
disengag,0
'd,0
next,0
Sunday,0
Evening,0
",",0
&,0
that,0
you,0
will,0
give,0
us,0
the,0
pleasure,0
of,0
yr,0
company,0
to,0
meet,0
Mrs,B-pers
Carter,I-pers
",",0
&,0
if,0
you,0
will,0
give,0
her,0
leave,0
she,0
will,0
call,0
on,0
you,0
in,0
the,0
Coach,0
&,0
carry,0
you,0
here,0
at,0
Night,0
I,0
was,0
in,0
hopes,0
some,0
of,0
these,0
fine,0
Mornings,0
wd,0
have,0
induc,0
'd,0
you,0
to,0
take,0
a,0
Walk,0
towards,0
Dover,0
Street,0
:,0
Adieu,0
&,0
believe,0
me,0
My,0
dear,0
Madam,0
--,0
yr,0
ever,0
faithful,0
&,0
c,0
DBloſset,B-pers
Dover,0
Street,0
Thursday,0
Evening,0
--,0
20,0
th,0
March,0
1783,0
Miſs,0
Bloſset,0
This,0
annotation,0
is,0
written,0
vertically,0
.,0
Miſs,B-pers
Hamilton,I-pers
Clarges,0
Street,0
--,0
