TOKEN,NE
A,0
cut,0
out,0
paper,0
heart,0
containing,0
fragments,0
of,0
text,0
has,0
been,0
attached,0
to,0
the,0
sheet,0
.,0
S,0
t,0
-,0
James,0
's,0
Place,0
June,0
the,0
4,0
th,0
-,0
1782,0
32,0
Tho,0
',0
Mrs-,B-pers
Delany,I-pers
is,0
unable,0
with,0
her,0
own,0
hand,0
to,0
addreſs,0
her,0
Dear,0
Miſs,B-pers
Hamilton,I-pers
She,0
can,0
not,0
suffer,0
this,0
most,0
important,0
day,0
The,0
birthday,0
of,0
King,0
George,0
III,0
.,0
to,0
paſs,0
without,0
felicitating,0
her,0
on,0
its,0
return,0
--,0
And,0
",",0
to,0
entreat,0
that,0
Miſs,B-pers
Hamilton,I-pers
will,0
follow,0
the,0
dictates,0
of,0
her,0
own,0
warm,0
&,0
Grateful,0
Heart,0
to,0
expreſs,0
(,0
with,0
the,0
profoundest,0
Respect,0
&,0
most,0
Zealous,0
affection,0
),0
how,0
much,0
Mrs,B-pers
Delany,I-pers
wishes,0
their,0
Majestts,0
and,0
the,0
Princeſs,0
Joy,0
of,0
the,0
return,0
of,0
this,0
day,0
--,0
It,0
is,0
not,0
clear,0
whether,0
this,0
is,0
where,0
the,0
letter,0
originally,0
ended,0
",",0
or,0
if,0
any,0
text,0
is,0
missing,0
.,0
This,0
page,0
is,0
blank,0
.,0
