TOKEN	NE
Berkeley	O
Square	O
June	O
11	O
th	O
.	O
1788	O
.	O
Dear	O
Madam	O
if	O
you	O
&	O
Mr	B-pers
Dickenson	I-pers
like	O
to	O
see	O
the	O
Play	O
at	O
Richmond	O
house	O
on	O
Saturday	O
next	O
,	O
I	O
have	O
asked	O
Gen.	B-pers
Conway	I-pers
for	O
tickets	O
for	O
you	O
both	O
,	O
&	O
he	O
has	O
promised	O
me	O
them	O
.	O
It	O
will	O
be	O
the	O
last	O
performance	O
this	O
year	O
.	O
Be	O
so	O
good	O
as	O
to	O
let	O
me	O
know	O
before	O
dinner	O
,	O
if	O
you	O
shoud	O
not	O
be	O
at	O
home	O
when	O
I	O
send	O
this	O
.	O
yr	O
most	O
obed	O
.	O
Sert	O
HorWalpole	B-pers
Honble	O
Horace	B-pers
Walpole	I-pers
June	O
1788	O
