TOKEN	NE
Ma	O
chere	O
Amie	O
As	O
Mrs.	B-pers
Garrick	I-pers
is	O
obliged	O
to	O
have	O
Company	O
at	O
breakfast	O
on	O
thursday	O
we	O
ca	O
n't	O
be	O
with	O
you	O
before	O
twelve	O
,	O
and	O
we	O
have	O
so	O
much	O
to	O
do	O
,	O
that	O
we	O
shall	O
not	O
be	O
able	O
to	O
stay	O
as	O
long	O
as	O
we	O
wish	O
.	O
I	O
have	O
been	O
so	O
distracted	O
with	O
the	O
head	O
ach	O
these	O
two	O
days	O
that	O
I	O
am	O
obliged	O
to	O
send	O
excuses	O
where	O
I	O
was	O
engaged	O
to	O
an	O
Aſsembly	O
Adieu	O
dear	O
Madam	O
ever	O
yours	O
H	B-pers
More	I-pers
Tuesday	O
To	O
Miſs	B-pers
Hamilton	I-pers
Clarges	O
St	O
.	O
