TOKEN	NE
Recd	O
.	O
4	O
th	O
.	O
Decbr	O
.	O
1779	O
FSatry	O
.	O
Morng	O
½	O
past	O
ni	O
g	O
n	O
e	O
In	O
return	O
for	O
ye	O
Ring	O
set	O
wth	O
.	O
Brilliants	O
I	O
am	O
astonished	O
,	O
I	O
am	O
surprised	O
I	O
am	O
enchanted	O
thou	O
ever	O
ever	O
ever	O
dearest	O
,	O
dearest	O
,	O
dearest	O
cruel	O
Creature	O
,	O
Oh	O
believe	O
me	O
my	O
mMiranda	B-pers
yt	O
if	O
ever	O
I	O
cld	O
.	O
love	O
you	O
more	O
than	O
I	O
do	O
this	O
has	O
done	O
it	O
.	O
I	O
am	O
&	O
ever	O
shall	O
be	O
unto	O
my	O
last	O
breath	O
Thy	O
Palemon	B-pers
toujours	O
de	O
même	O
&	O
shall	O
ever	O
act	O
up	O
to	O
ye	O
.	O
strict	O
sense	O
of	O
yt	O
.	O
word	O
.	O
P.S	O
.	O
I	O
can	O
write	O
no	O
more	O
at	O
present	O
I	O
am	O
so	O
hurried	O
to	O
expreſs	O
my	O
thanks	O
astonishment	O
e	O
x	O
c	O
stacies	O
&	O
c.	O
&	O
c.	O
&	O
c	O
.	O
A	O
.	O
A	O
.	O
A	O
toujours	O
chére	O
I	O
can	O
not	O
return	O
you	O
ye	O
.	O
Letter	O
Tomorrow	O
,	O
but	O
will	O
ye	O
very	O
first	O
opportunity	O
.	O
