TOKEN	NE
My	O
Dear	O
Miſs	B-pers
Hamilton	I-pers
,	O
I	O
was	O
just	O
writing	O
a	O
Note	O
to	O
Miſs	B-pers
G	I-pers
.	I-pers
to	O
excuse	O
my	O
Attendance	O
at	O
the	O
Queen	O
's	O
House	O
,	O
&	O
have	O
given	O
a	O
Description	O
of	O
myself	O
that	O
I	O
will	O
not	O
repeat	O
to	O
you	O
,	O
as	O
you	O
have	O
ſeen	O
Devaynes	B-pers
,	O
who	O
says	O
't	O
is	O
absolutely	O
neceſsary	O
for	O
me	O
to	O
take	O
some	O
care	O
of	O
myself	O
&	O
keep	O
house	O
a	O
little	O
.	O
I	O
am	O
sorry	O
to	O
be	O
obliged	O
to	O
submit	O
to	O
it	O
,	O
but	O
I	O
really	O
feel	O
it	O
neceſsary	O
myself	O
.	O
Yrs	O
.	O
ever	O
Sincerely	O
CFinch	B-pers
Miſs	B-pers
Hamilton	I-pers
