TOKEN	NE
My	O
dearest	O
Friend	O
,	O
How	O
are	O
you	O
--	O
in	O
tolerable	O
spirits	O
I	O
sincerely	O
hope	O
--	O
I	O
send	O
you	O
a	O
handcherchief	O
for	O
which	O
you	O
owe	O
me	O
2/9	O
d	O
--	O
Do	O
not	O
go	O
to	O
Hero	B-pers
's	O
on	O
Sunday	O
,	O
because	O
I	O
can	O
not	O
my	B-pers
Father	I-pers
who	O
has	O
a	O
particular	O
reason	O
for	O
wishing	O
me	O
to	O
dine	O
at	O
home	O
,	O
is	O
gone	O
to	O
beg	O
me	O
off	O
if	O
you	O
send	O
an	O
excuse	O
now	O
it	O
will	O
not	O
seem	O
concerted	O
--	O
adieu	O
I	O
am	O
very	O
well	O
--	O
