TOKEN,NE
My,0
dear,0
Friend,0
It,0
is,0
an,0
age,0
since,0
I,0
have,0
seen,0
you,0
.,0
--,0
Mrs.,B-pers
G,I-pers
.,I-pers
desires,0
her,0
love,0
to,0
you,0
and,0
begs,0
your,0
Company,0
at,0
dinner,0
next,0
Saturday,0
",",0
and,0
begs,0
You,0
will,0
let,0
the,0
inclosed,0
be,0
given,0
to,0
Sir,B-pers
Wm,I-pers
.,I-pers
Hamilton,I-pers
and,0
get,0
his,0
Answer,0
as,0
soon,0
as,0
poſsible,0
.,0
Shou,0
'd,0
he,0
be,0
engaged,0
at,0
dinner,0
perhaps,0
he,0
wou,0
'd,0
come,0
in,0
the,0
Evening,0
.,0
Will,0
you,0
settle,0
all,0
that,0
;,0
we,0
shall,0
have,0
a,0
few,0
of,0
his,0
and,0
your,0
friends,0
.,0
I,0
hope,0
to,0
see,0
You,0
very,0
soon,0
--,0
Yours,0
affectionately,0
H,B-pers
More,I-pers
Sunday,0
28,0
th,0
.,0
March,0
1784,0
Remains,0
of,0
a,0
seal,0
",",0
in,0
red,0
wax,0
.,0
