TOKEN,NE
Part,0
typed,0
6,0
.,0
Pſs,B-pers
Augusta,I-pers
tells,0
me,0
my,0
drst,0
that,0
Lay,B-pers
C,I-pers
has,0
spoke,0
to,0
the,0
Queen,0
",",0
I,0
feel,0
very,0
sensibly,0
for,0
you,0
",",0
for,0
I,0
too,0
well,0
know,0
what,0
yr-,0
Situation,0
is,0
",",0
keep,0
yr-,0
self,0
up,0
my,0
dear,0
",",0
I,0
hope,0
you,0
will,0
find,0
yr-,0
Mama,0
better,0
than,0
you,0
expect,0
",",0
&,0
I,0
am,0
sure,0
you,0
are,0
convinced,0
",",0
that,0
Providence,0
knows,0
better,0
than,0
we,0
do,0
what,0
is,0
proper,0
for,0
us,0
God,0
Bleſs,0
you,0
",",0
try,0
to,0
sleep,0
&,0
believe,0
me,0
affly,0
Y,0
MCG,B-pers
--,0
Satry,0
Night,0
14,0
th,0
.,0
Novbr,0
.,0
1778,0
The,0
dateline,0
appears,0
to,0
the,0
left,0
of,0
the,0
signature,0
.,0
parts,0
Typed,0
by,0
F,0
Miſs,B-pers
Hamilton,I-pers
Kew,B-place
The,0
direction,0
is,0
split,0
in,0
multiple,0
sections,0
with,0
different,0
orientations,0
by,0
unfolding,0
.,0
