TOKEN,NE
56a,0
Sunday,0
night,0
fearing,0
there,0
was,0
some,0
Blunder,0
in,0
your,0
Meſsage,0
this,0
Evening,0
my,0
Dear,0
Friend,0
",",0
this,0
is,0
to,0
inform,0
you,0
tha,0
t,0
the,0
the,0
Dutcheſs,0
D,0
of,0
Portland,0
is,0
ingaged,0
on,0
Tuesday,0
n,0
ext,0
I,0
shall,0
be,0
Happy,0
to,0
see,0
you,0
--,0
and,0
will,0
contrive,0
if,0
you,0
h,0
ave,0
no,0
better,0
way,0
--,0
to,0
get,0
the,0
Usual,0
Equipage,0
at,0
any,0
Hour,0
you,0
will,0
name,0
--,0
and,0
if,0
you,0
can,0
Eat,0
a,0
Boild,0
chicken,0
with,0
me,0
--,0
you,0
will,0
make,0
me,0
Happy,0
adieu,0
--,0
The,0
text,0
on,0
this,0
page,0
is,0
written,0
upside,0
down,0
.,0
wednesday,0
is,0
more,0
convenient,0
to,0
you,0
it,0
will,0
be,0
lly,0
agreeable,0
to,0
me,0
16,0
th,0
Janry,0
.,0
1785,0
Miss,B-pers
Hamilton,I-pers
