TOKEN,NE
1,0
I,0
can,0
not,0
help,0
adding,0
a,0
few,0
words,0
to,0
night,0
to,0
tell,0
you,0
how,0
much,0
I,0
was,0
hurt,0
2,0
days,0
ago,0
wth,0
.,0
some,0
unpleasant,0
conversation,0
reflections,0
wth,0
.,0
regard,0
to,0
your,0
dreſs,0
",",0
wch,0
.,0
was,0
stiled,0
coxcomical,0
",",0
&,0
particularly,0
yr,0
.,0
Shoes,0
&,0
Buckles,0
wch,0
.,0
were,0
remarkably,0
tight,0
&,0
large,0
.,0
It,0
grieves,0
me,0
that,0
such,0
reflections,0
shd,0
.,0
always,0
follow,0
ye,0
mention,0
of,0
your,0
name,0
",",0
instead,0
of,0
any,0
",",0
upon,0
your,0
modesty,0
--,0
sense,0
--,0
greatneſs,0
of,0
mind,0
&,0
c,0
&,0
c.,0
It,0
provokes,0
me,0
to,0
see,0
you,0
so,0
often,0
&,0
repeatedly,0
in,0
ye,0
.,0
papers,0
as,0
a,0
Hero,0
of,0
some,0
ridiculous,0
adventure,0
",",0
or,0
silly,0
letter,0
frm,0
.,0
a,0
Brighthelmstone,B-place
Miſs,0
This,0
disparaging,0
sense,0
of,0
miss,0
is,0
used,0
by,0
Hamilton,0
in,0
GEO/ADD/3/83/8,0
and,0
by,0
other,0
writers,0
in,0
",",0
for,0
instance,0
",",0
HAM/1/15/1/20,0
and,0
HAM/1/19/34,0
(,0
see,0
OED,0
s.v,0
.,0
miss,0
n.,0
2,0
",",0
4a,0
),0
.,0
--,0
I,0
am,0
quite,0
in,0
a,0
Paſsion,0
upon,0
this,0
Subject,0
for,0
I,0
can,0
not,0
but,0
be,0
much,0
interested,0
in,0
ye,0
.,0
establishment,0
of,0
your,0
Character,0
.,0
Hamilton,0
draws,0
a,0
line,0
right,0
across,0
the,0
page,0
to,0
conclude,0
her,0
complaint,0
and,0
separate,0
it,0
from,0
the,0
gentler,0
conclusion,0
.,0
I,0
can,0
discover,0
thro,0
',0
ye,0
.,0
foibles,0
of,0
Youth,0
&,0
may,0
I,0
add,0
ye,0
.,0
errors,0
of,0
too,0
strict,0
an,0
education,0
",",0
?,0
--,0
a,0
n,0
good,0
understanding,0
",",0
gentleneſs,0
of,0
manners,0
",",0
&,0
what,0
I,0
set,0
ye,0
.,0
highest,0
value,0
on,0
",",0
a,0
feeling,0
heart,0
--,0
O,0
may,0
I,0
",",0
as,0
you,0
aſsure,0
me,0
",",0
eternally,0
feel,0
ye,0
.,0
satisfaction,0
of,0
having,0
rendered,0
it,0
conduc,0
e,0
ive,0
to,0
glorious,0
purposes,0
!,0
Our,0
friendship,0
is,0
virtuous,0
pure,0
amiable,0
may,0
we,0
enjoy,0
it,0
!,0
The,0
second,0
page,0
is,0
blank,0
.,0
