TOKEN,NE
Dear,0
Madam,0
My,0
Papa,0
would,0
not,0
allow,0
me,0
to,0
call,0
to,0
take,0
leave,0
of,0
Mrs.,B-pers
Hamilton,I-pers
and,0
you,0
",",0
as,0
",",0
after,0
the,0
Kind,0
present,0
you,0
gave,0
me,0
last,0
year,0
",",0
he,0
thought,0
it,0
would,0
look,0
too,0
much,0
like,0
the,0
desiring,0
a,0
repetition,0
of,0
the,0
favour,0
.,0
But,0
I,0
aſsure,0
you,0
I,0
go,0
away,0
not,0
the,0
leſs,0
grateful,0
for,0
all,0
the,0
Kindneſs,0
's,0
you,0
&,0
your,0
Mama,0
have,0
shewn,0
since,0
I,0
have,0
been,0
at,0
It,0
is,0
probably,0
the,0
word,0
‘,0
Northampton,0
’,0
that,0
has,0
been,0
cut,0
away,0
.,0
I,0
am,0
Dear,0
Madam,0
Your,0
much,0
obliged,0
&,0
affectionate,0
humble,0
Servant,0
Chas,B-pers
.,I-pers
Hope,I-pers
Sunday,0
Morning,0
The,0
dateline,0
appears,0
to,0
the,0
left,0
of,0
‘,0
Your,0
much,0
obliged,0
’,0
in,0
the,0
salutation,0
",",0
and,0
a,0
curly,0
bracket,0
separates,0
them,0
.,0
